Study start date (mm/dd/yyyy),Study end date (mm/dd/yyyy),Study length (days),Is top-level row?,Subgroup,Positive/negative cases,End-point vs Active,Survivors,Discharged,Contains Any Treatment?,ICU vs. non-ICU,Severity,Ventilation,Median Age,Mean Age
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,65,65
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Severe/Critical Only,Non-ventilation only,66,66
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,37,37
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,36,36
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,10,10
1/10/20,1/24/20,14,Subgroup,Single patient,Positive only,Active only,Survivors only,Non-discharged only,No,Non-ICU only,Mild only,Non-ventilation only,63,63
1/1/20,2/15/20,45,Top-level,All,Positive only,End-point only,Non-Survivors only,Discharged only,Yes,,Severe/Critical Only,Both,71,
1/1/20,2/15/20,45,Subgroup,<=3d course of disease group,Positive only,End-point only,Non-Survivors only,Discharged only,Yes,,Severe/Critical Only,Both,72,
1/1/20,2/15/20,45,Subgroup,<=3d course of disease group,Positive only,End-point only,Non-Survivors only,Discharged only,Yes,,Severe/Critical Only,Both,71,
1/26/20,2/18/20,23,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,,Yes,,Severe/Critical Only,Both,65,70.7
1/16/20,2/3/20,18,Top-level,All,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,57,
1/16/20,2/3/20,18,Subgroup,Nonsevere,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,,51.5,
1/16/20,2/3/20,18,Subgroup,Severe,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,,64,
1/21/20,2/14/20,24,Top-level,All,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,ΝΑ,Severe/Critical Only,,69.22,69.22
3/1/20,3/23/20,22,Top-level,All,Positive only,End-point and active,Both,,,,,,34,
1/20/20,2/22/20,33,Top-level,All,Positive only,End-point and active,Both,Both,No,Both,All,Both,53,
1/20/20,2/22/20,33,Subgroup,Hospitalized patients,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,55,
,,,,,,,,,,,,,,
1/2/20,2/12/20,41,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,All,Both,55,
1/2/20,2/12/20,41,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,All,Both,49,
1/2/20,2/12/20,41,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,All,Both,61,
1/28/20,2/18/20,21,Top-level,All,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,32.5,
1/28/20,2/18/20,21,Subgroup,Symptomatic,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,53,
1/28/20,2/18/20,21,Subgroup,Asymptomatic,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,32,
1/14/20,2/13/20,30,Top-level,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,73,71.88
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,55,55
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,62,62
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,81,81
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,72,72
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,83,83
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,70,70
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,73,73
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,74,74
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,82,82
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,78,78
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,78,78
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,67,67
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,94,94
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,69,69
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,90,90
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,75,75
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,56,56
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,59,59
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,56,56
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,74,74
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,55,55
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,64,64
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,74,74
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,56,56
1/14/20,2/13/20,30,Subgroup,Nonsurvivors,Positive only,End-point only,Non-Survivors only,Discharged only,No,ΝΑ,Severe/Critical Only,Both,100,100
1/20/20,2/11/20,22,Top-level,All,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,All,Both,45,
1/20/20,2/11/20,22,Subgroup,Non-severe,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,Mild only,Non-ventilation only,44,
1/20/20,2/11/20,22,Subgroup,Severe,Positive only,End-point only,Both,Discharged only,Yes,ΝΑ,Severe/Critical Only,Both,52,
1/1/20,2/10/20,40,Top-level,Patients with pneumonia,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,All,,45,
1/1/20,2/10/20,40,Subgroup,Severe pneumonia,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,Severe/Critical Only,,70,
1/1/20,2/10/20,40,Subgroup,Non-severe pneumonia,Positive only,Active only,Both,Non-discharged only,No,ΝΑ,All,,35,
1/25/20,2/23/20,29,Top-level,All,Positive only,End-point and active,Survivors only,Both,Yes,ΝΑ,All,,26.2,
1/25/20,2/23/20,29,Subgroup,Adolescents (10-24 yrs),Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,17.5,
1/25/20,2/23/20,29,Subgroup,Young Adults (25-35 yrs),Positive only,End-point and active,Survivors only,Both,Yes,ΝΑ,All,,30,
,,,,,,,,,,,,,,
1/6/20,1/31/20,25,Top-level,All,Positive only,End-point and active,Non-Survivors only,Both,Yes,Both,All,,,39.08
1/6/20,1/31/20,25,Subgroup,Non-hospitalized,Positive only,End-point and active,Survivors only,Both,Yes,Non-ICU only,Mild only,Non-ventilation only,,36.93
1/6/20,1/31/20,25,Subgroup,Hospitalized,Positive only,End-point and active,Survivors only,Both,Yes,Both,Severe/Critical Only,,,54
1/22/20,2/12/20,21,Top-level,All,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,,43
1/22/20,2/12/20,21,Subgroup,Imported,Positive only,End-point and active,Survivors only,Both,Yes,Both,All,Both,,40
1/22/20,2/12/20,21,Subgroup,Indigenous,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,,44
1/3/20,9/3/20,7,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,Non-ICU only,Mild only,Non-ventilation only,51,51
1/23/20,2/6/20,14,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,Non-ICU only,Mild only,Non-ventilation only,36.5,36.5
1/23/20,2/6/20,14,Subgroup,Patient 1,Positive only,End-point only,Both,Discharged only,Yes,Non-ICU only,Mild only,Non-ventilation only,50,50
1/23/20,2/6/20,14,Subgroup,Patient 2,Positive only,End-point only,Both,Discharged only,Yes,Non-ICU only,Mild only,Non-ventilation only,23,23
,,,,,,,,,,,,,,
1/20/20,2/14/20,25,Top-level,All,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,,42.6
,,,,,,,,,,,,,,
1/27/20,2/8/20,12,Top-level,All,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,45.20935484,45.20935484
1/27/20,2/8/20,12,Subgroup,GI Symptoms,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,46.14,46.14
1/27/20,2/8/20,12,Subgroup,No GI Symptoms,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,45.09,45.09
,,,,,,,,,,,,,,
1/20/20,3/25/20,65,Top-level,All,Positive only,End-point and active,Both,Both,Yes,ICU only,Severe/Critical Only,Ventilation only,65,59
1/20/20,3/25/20,65,Subgroup,Patient 1,Positive only,Active only,Both,Non-discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,75,75
1/21/20,3/26/20,65,Subgroup,Patient 2,Positive only,Active only,Both,Non-discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,65,65
1/22/20,3/27/20,65,Subgroup,Patient 3,Positive only,End-point only,Both,Discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,55,55
1/23/20,3/28/20,65,Subgroup,Patient 4,Positive only,End-point only,Both,Discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,35,35
1/24/20,3/29/20,65,Subgroup,Patient 5,Positive only,End-point only,Both,Discharged only,Yes,ICU only,Severe/Critical Only,Ventilation only,65,65
2/27/20,,,Top-level,All,Positive only,End-point and active,Survivors only,Both,No,Non-ICU only,All,,49,
2/27/20,,,Top-level,All,Positive only,End-point and active,Survivors only,Both,No,Non-ICU only,All,,47,
2/27/20,,,Top-level,All,Positive only,End-point and active,Survivors only,Both,No,Non-ICU only,All,,49,
1/22/20,2/11/20,20,Top-level,All,Positive only,End-point and active,Both,Both,Yes,Both,All,Non-ventilation only,42,
1/1/20,2/3/20,34,Top-level,All,Positive only,End-point only,Both,Both,No,ΝΑ,All,,,54.1
1/1/20,2/3/20,34,Subgroup,Survivors,Positive only,End-point only,Survivors only,Discharged only,No,ΝΑ,All,,,52.4
1/1/20,2/3/20,34,Subgroup,Non-survivors,Positive only,End-point only,Non-Survivors only,Non-discharged only,No,ΝΑ,Severe/Critical Only,,,64
2/29/20,3/26/20,27,Top-level,All,Positive only,End-point and active,Both,Both,Yes,ICU only,Severe/Critical Only,Both,61,60.2
2017,3/26/20,757,Top-level,Patients with viral pneumonia for non-COVID-19,Positive and Negative/Unconfirmed,End-point only,Both,Both,Yes,ICU only,Severe/Critical Only,Both,60,58
2/29/20,3/26/20,27,Subgroup,COVID-19 - discharged alive from critical care,Positive only,End-point only,Survivors only,Discharged only,Yes,ICU only,Severe/Critical Only,Both,60,
2/29/20,3/26/20,27,Subgroup,COVID-19 - died in critical care,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,ICU only,Severe/Critical Only,Both,70,
1/16/20,3/15/20,59,Top-level,Total,Positive only,End-point only,Both,Both,Yes,ΝΑ,All,Both,50,
1/16/20,3/15/20,59,Subgroup,Rapid Recovery,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,Mild only,Both,49,
1/16/20,3/15/20,59,Subgroup,No Recovery,Positive only,End-point only,Non-Survivors only,Non-discharged only,Yes,ΝΑ,Severe/Critical Only,Both,76,
1/16/20,3/15/20,59,Subgroup,Pronged Recovery,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,Severe/Critical Only,Both,48,
1/14/20,2/12/20,27,Top-level,Total,Positive only,End-point only,Both,Both,No,ΝΑ,All,,49,
1/14/20,2/12/20,27,Subgroup,Contact based,Positive only,End-point only,Both,Both,No,ΝΑ,All,,39,
1/14/20,2/12/20,27,Subgroup,Symptom based,Positive only,End-point only,Both,Both,No,ΝΑ,All,,45,
1/14/20,2/12/20,27,Subgroup,Uknown,Positive only,End-point only,Both,Both,No,ΝΑ,All,,59,
1/31/20,3/9/20,38,Top-level,All,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,All,Both,52,
1/31/20,3/9/20,38,Subgroup,LPV/r group,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,All,Both,50,
1/31/20,3/9/20,38,Subgroup,No LPV/r group,Positive only,End-point only,Survivors only,Discharged only,Yes,Non-ICU only,All,Both,57,
3/3/20,3/21/20,18,Top-level,All,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,52.5,52.5
2/20/20,3/12/20,21,Top-level,All,Positive only,End-point only,Both,Discharged only,Yes,Both,All,Both,51.52542373,51.52542373
2/20/20,3/12/20,21,Subgroup,Favipiravir group,Positive only,End-point only,Both,Discharged only,Yes,Both,All,Both,50,50
2/20/20,3/12/20,21,Subgroup,Arbidol group,Positive only,End-point only,Both,Discharged only,Yes,Both,All,Both,53,53
2/27/20,3/18/20,20,Top-level,All,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,72,72
2/27/20,3/18/20,20,Subgroup,Residents,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,83,83
2/27/20,3/18/20,20,Subgroup,Healthcare Personel,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,43.5,43.5
2/27/20,3/18/20,20,Subgroup,Visitors,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,62.5,62.5
,,,,,,,,,,,,,,
1/1/20,2/1/20,31,Top-level,All,Positive only,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1/14/20,3/19/20,,Subgroup,patient 1,,,,,,,,,,
,,,Subgroup,patient 2,,,,,,,,,,
1/1/20,2/28/20,58,Top-level,Extrapolated top-level stats,Positive and Negative/Unconfirmed,End-point and active,Both,Both,No,ΝΑ,All,,,53.71
1/1/20,2/28/20,58,Subgroup,Non-severe train,Positive and Negative/Unconfirmed,End-point and active,Both,Both,No,ΝΑ,All,,,49.05
1/1/20,2/28/20,58,Subgroup,Severe train,Positive and Negative/Unconfirmed,End-point and active,Both,Both,No,ΝΑ,All,,,65.23
1/1/20,2/28/20,58,Subgroup,Non-severe test,Positive and Negative/Unconfirmed,End-point and active,Both,Both,No,ΝΑ,All,,,47
1/1/20,2/28/20,58,Subgroup,Severe test,Positive and Negative/Unconfirmed,End-point and active,Both,Both,No,ΝΑ,All,,,66.47
,,,,,,,,,,,,,,
1/23/20,2/23/20,29,Top-level,General,Positive only,End-point only,Both,Both,Yes,ΝΑ,All,Both,,58.5
1/23/20,2/23/20,29,Subgroup,TnT level normal,Positive only,End-point only,Both,Both,Yes,ΝΑ,All,Both,,53.53
1/23/20,2/23/20,29,Subgroup,TnT level elevated,Positive only,End-point only,Both,Both,Yes,ΝΑ,All,Both,,71.4
,,,,,,,,,,,,,,
1/11/20,2/9/20,29,Top-level,,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,48,
1/11/20,2/9/20,29,Subgroup,Non-critical,Positive only,End-point and active,Both,Both,No,ΝΑ,Mild only,Non-ventilation only,41,
1/11/20,2/9/20,29,Subgroup,Critical,Positive only,End-point and active,Both,Both,No,ΝΑ,Severe/Critical Only,Ventilation only,64,
1/14/20,2/20/20,37,Top-level,,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,6.625,7.543
1/14/20,2/20/20,37,Subgroup,Patient 1,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,6.17,6.17
1/14/20,2/20/20,37,Subgroup,Patient 2,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,12.58,12.58
1/14/20,2/20/20,37,Subgroup,Patient 3,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,7.08,7.08
1/14/20,2/20/20,37,Subgroup,Patient 4,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,13.75,13.75
1/14/20,2/20/20,37,Subgroup,Patient 5,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,1.17,1.17
1/14/20,2/20/20,37,Subgroup,Patient 6,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,3.42,3.42
1/14/20,2/20/20,37,Subgroup,Patient 7,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,15.67,15.67
1/14/20,2/20/20,37,Subgroup,Patient 8,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,13.67,13.67
1/14/20,2/20/20,37,Subgroup,Patient 9,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,0.17,0.17
1/14/20,2/20/20,37,Subgroup,Patient 10,Positive only,End-point and active,Both,Both,No,ΝΑ,All,,1.75,1.75
1/1/20,2/15/20,45,Subgroup,Elderly,Positive only,End-point only,Both,Both,Yes,Both,All,Both,68,
1/1/20,2/15/20,45,Subgroup,Young,Positive only,End-point only,Both,Both,Yes,Both,All,Both,47,
1/1/20,2/29/20,59,Top-level,,Positive only,End-point and active,Both,Both,No,Both,All,,41,
1/17/20,2/26/20,40,Top-level,,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,,55.94
1/21/20,2/16/20,26,Top-level,,Positive only,End-point and active,Both,Both,Yes,Both,All,Both,53,
1/21/20,2/16/20,26,Subgroup,Non-severe,Positive only,End-point and active,Both,Both,Yes,Both,Mild only,Both,31,
1/21/20,2/16/20,26,Subgroup,Severe,Positive only,End-point and active,Both,Both,Yes,Both,Severe/Critical Only,Both,56,
1/20/20,3/15/20,55,Top-level,All,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,All,,,46.8
1/20/20,3/15/20,55,Subgroup,Mild,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,Mild only,,,46.4
1/20/20,3/15/20,55,Subgroup,Severe,Positive only,End-point only,Survivors only,Discharged only,Yes,ΝΑ,Severe/Critical Only,,,46.12
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2/28/20,3/20/20,21,Subgroup,Negative Cases,Negative only,Active only,Both,Both,No,ΝΑ,All,,,75.1
2/28/20,3/20/20,21,Subgroup,Positive Cases,Positive only,Active only,Both,Both,No,ΝΑ,All,,,80.7