Location,Population
China,1439323776.00
India,1380004385.00
US,331002651.00
Indonesia,273523615.00
Pakistan,220892340.00
Brazil,212559417.00
Nigeria,206139589.00
Bangladesh,164689383.00
Russia,145934462.00
Mexico,128932753.00
Japan,126476461.00
Ethiopia,114963588.00
Philippines,109581078.00
Egypt,102334404.00
Vietnam,97338579.00
DR Congo,89561403.00
Turkey,84339067.00
Iran,83992949.00
Germany,83783942.00
Thailand,69799978.00
United Kingdom,67886011.00
France,65273511.00
Italy,60461826.00
Tanzania,59734218.00
South Africa,59308690.00
Myanmar,54409800.00
Kenya,53771296.00
South Korea,51269185.00
Colombia,50882891.00
Spain,46754778.00
Uganda,45741007.00
Argentina,45195774.00
Algeria,43851044.00
Sudan,43849260.00
Ukraine,43733762.00
Iraq,40222493.00
Afghanistan,38928346.00
Poland,37846611.00
Canada,37742154.00
Morocco,36910560.00
Saudi Arabia,34813871.00
Uzbekistan,33469203.00
Peru,32971854.00
Angola,32866272.00
Malaysia,32365999.00
Mozambique,31255435.00
Ghana,31072940.00
Yemen,29825964.00
Nepal,29136808.00
Venezuela,28435940.00
Madagascar,27691018.00
Cameroon,26545863.00
Cote d'Ivoire,26378274.00
North Korea,25778816.00
Australia,25499884.00
Niger,24206644.00
Taiwan,23816775.00
Sri Lanka,21413249.00
Burkina Faso,20903273.00
Mali,20250833.00
Romania,19237691.00
Malawi,19129952.00
Chile,19116201.00
Kazakhstan,18776707.00
Zambia,18383955.00
Guatemala,17915568.00
Ecuador,17643054.00
Syria,17500658.00
Netherlands,17134872.00
Senegal,16743927.00
Cambodia,16718965.00
Chad,16425864.00
Somalia,15893222.00
Zimbabwe,14862924.00
Guinea,13132795.00
Rwanda,12952218.00
Benin,12123200.00
Burundi,11890784.00
Tunisia,11818619.00
Bolivia,11673021.00
Belgium,11589623.00
Haiti,11402528.00
Cuba,11326616.00
South Sudan,11193725.00
Dominican Republic,10847910.00
Czech Republic (Czechia),10708981.00
Greece,10423054.00
Jordan,10203134.00
Portugal,10196709.00
Azerbaijan,10139177.00
Sweden,10099265.00
Honduras,9904607.00
United Arab Emirates,9890402.00
Hungary,9660351.00
Tajikistan,9537645.00
Belarus,9449323.00
Austria,9006398.00
Papua New Guinea,8947024.00
Serbia,8737371.00
Israel,8655535.00
Switzerland,8654622.00
Togo,8278724.00
Sierra Leone,7976983.00
Hong Kong,7496981.00
Laos,7275560.00
Paraguay,7132538.00
Bulgaria,6948445.00
Libya,6871292.00
Lebanon,6825445.00
Nicaragua,6624554.00
Kyrgyzstan,6524195.00
El Salvador,6486205.00
Turkmenistan,6031200.00
Singapore,5850342.00
Denmark,5792202.00
Finland,5540720.00
Congo,5518087.00
Slovakia,5459642.00
Norway,5421241.00
Oman,5106626.00
State of Palestine,5101414.00
Costa Rica,5094118.00
Liberia,5057681.00
Ireland,4937786.00
Central African Republic,4829767.00
New Zealand,4822233.00
Mauritania,4649658.00
Panama,4314767.00
Kuwait,4270571.00
Croatia,4105267.00
Moldova,4033963.00
Georgia,3989167.00
Eritrea,3546421.00
Uruguay,3473730.00
Bosnia and Herzegovina,3280819.00
Mongolia,3278290.00
Armenia,2963243.00
Jamaica,2961167.00
Qatar,2881053.00
Albania,2877797.00
Puerto Rico,2860853.00
Lithuania,2722289.00
Namibia,2540905.00
Gambia,2416668.00
Botswana,2351627.00
Gabon,2225734.00
Lesotho,2142249.00
North Macedonia,2083374.00
Slovenia,2078938.00
Guinea-Bissau,1968001.00
Latvia,1886198.00
Kosovo,1810366.00
Bahrain,1701575.00
Equatorial Guinea,1402985.00
Trinidad and Tobago,1399488.00
Estonia,1326535.00
Timor-Leste,1318445.00
Mauritius,1271768.00
Cyprus,1207359.00
Eswatini,1160164.00
Djibouti,988000.00
Fiji,896445.00
Réunion,895312.00
Comoros,869601.00
Guyana,786552.00
Bhutan,771608.00
Solomon Islands,686884.00
Macao,649335.00
Montenegro,628066.00
Luxembourg,625978.00
Western Sahara,597339.00
Suriname,586632.00
Cabo Verde,555987.00
Maldives,540544.00
Malta,441543.00
Brunei,437479.00
Guadeloupe,400124.00
Belize,397628.00
Bahamas,393244.00
Martinique,375265.00
Iceland,341243.00
Vanuatu,307145.00
French Guiana,298682.00
Barbados,287375.00
New Caledonia,285498.00
French Polynesia,280908.00
Mayotte,272815.00
Sao Tome & Principe,219159.00
Samoa,198414.00
Saint Lucia,183627.00
Channel Islands,173863.00
Guam,168775.00
Curaçao,164093.00
Kiribati,119449.00
Micronesia,115023.00
Grenada,112523.00
St. Vincent & Grenadines,110940.00
Aruba,106766.00
Tonga,105695.00
U.S. Virgin Islands,104425.00
Seychelles,98347.00
Antigua and Barbuda,97929.00
Isle of Man,85033.00
Andorra,77265.00
Dominica,71986.00
Cayman Islands,65722.00
Bermuda,62278.00
Marshall Islands,59190.00
Northern Mariana Islands,57559.00
Greenland,56770.00
American Samoa,55191.00
Saint Kitts & Nevis,53199.00
Faeroe Islands,48863.00
Sint Maarten,42876.00
Monaco,39242.00
Turks and Caicos,38717.00
Saint Martin,38666.00
Liechtenstein,38128.00
San Marino,33931.00
Gibraltar,33691.00
British Virgin Islands,30231.00
Caribbean Netherlands,26223.00
Palau,18094.00
Cook Islands,17564.00
Anguilla,15003.00
Tuvalu,11792.00
Wallis & Futuna,11239.00
Nauru,10824.00
Saint Barthelemy,9877.00
Saint Helena,6077.00
Saint Pierre & Miquelon,5794.00
Montserrat,4992.00
Falkland Islands,3480.00
Niue,1626.00
Tokelau,1357.00
Holy See,801.00
Alabama,4903185.00
Alaska,731545.00
Arizona,7278717.00
Arkansas,3017804.00
California,39512223.00
Colorado,5758736.00
Connecticut,3565287.00
Delaware,973764.00
District of Columbia,705749.00
Florida,21477737.00
Georgia,10617423.00
Hawaii,1415872.00
Idaho,1787065.00
Illinois,12671821.00
Indiana,6732219.00
Iowa,3155070.00
Kansas,2913314.00
Kentucky,4467673.00
Louisiana,4648794.00
Maine,1344212.00
Maryland,6045680.00
Massachusetts,6892503.00
Michigan,9986857.00
Minnesota,5639632.00
Mississippi,2976149.00
Missouri,6137428.00
Montana,1068778.00
Nebraska,1934408.00
Nevada,3080156.00
New Hampshire,1359711.00
New Jersey,8882190.00
New Mexico,2096829.00
New York,19453561.00
North Carolina,10488084.00
North Dakota,762062.00
Ohio,11689100.00
Oklahoma,3956971.00
Oregon,4217737.00
Pennsylvania,12801989.00
Rhode Island,1059361.00
South Carolina,5148714.00
South Dakota,884659.00
Tennessee,6829174.00
Texas,28995881.00
Utah,3205958.00
Vermont,623989.00
Virginia,8535519.00
Washington,7614893.00
West Virginia,1792147.00
Wisconsin,5822434.00
Wyoming,578759.00
New South Wales,809952.00
Queensland,1851736.00
South Australia,1044353.00
Tasmania,90758.00
Victoria,237657.00
Western Australia,2642753.00
Ontario,14446515.00
Quebec,8433301.00
British Columbia,5020302.00
Alberta,4345737.00
Manitoba,1360396.00
Saskatchewan,1168423.00
Nova Scotia,965382.00
New Brunswick,772094.00
Newfoundland,523790.00
Prince Edward Island,154748.00
Northwest Territory,44598.00
Yukon,40369.00
Nunavut,38787.00